basin,campaign,site_id,hydrogeomorphic_zone,elevation_navd88,latitude,longitude,station,plot,replicate,sample_id,time_marker_deployed,time_marker_sampled,notes_time_marker_sampled,sediment_accretion,days_between_sampling_and_deployment,normalized_accretion,soil_bulk_density,soil_organic_matter_content,soil_organic_carbon,soil_organic_carbon_density
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,X,A,20F2568TXA,2019-10-17,2020-11-10,NA,11,390,10,0.037,65.5,33.6,0.012
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,X,B,20F2568TXB,2019-10-17,2020-11-10,NA,7,390,7,0.073,49,23.4,0.017
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,Y,A,20F2568TYA,2019-10-17,2020-11-10,NA,12,390,11,0.047,63.4,31,0.015
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,Y,B,20F2568TYB,2019-10-17,2020-11-10,NA,10,390,9,0.069,45.2,23,0.016
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,Z,A,20F2568TZA,2019-10-17,2020-11-10,NA,14,390,13,0.026,46.5,21.1,0.005
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,Z,B,20F2568TZB,2019-10-17,2020-11-10,NA,15,390,14,0.037,29.2,13,0.005
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,X,A,20F2568VXA,2019-10-17,2020-11-10,NA,30,390,28,0.058,52.3,25.9,0.015
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,X,B,20F2568VXB,2019-10-17,2020-11-10,NA,33,390,31,0.065,43.6,22.5,0.015
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,Y,A,20F2568VYA,2019-10-17,2020-11-10,NA,37,390,35,0.104,42.9,21.5,0.022
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,Y,B,20F2568VYB,2019-10-17,2020-11-10,NA,28,390,26,0.05,48.3,23,0.011
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,Z,A,20F2568VZA,2019-10-17,2020-11-10,NA,31,390,29,0.052,35.3,17.3,0.009
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,Z,B,20F2568VZB,2019-10-17,2020-11-10,NA,30,390,28,0.067,43.3,20.9,0.014
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.248,29.41982701,-90.94793212,V25,X,A,20F294V25XA,2019-10-09,2020-10-14,NA,16,371,16,0.068,66.1,35.1,0.024
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.248,29.41982701,-90.94793212,V25,X,B,20F294V25XB,2019-10-09,2020-10-14,NA,46,371,45,0.021,67.4,35.4,0.008
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.248,29.41982701,-90.94793212,V25,X,C,20F294V25XC,2019-10-09,2020-10-14,NA,33,371,32,0.049,65.9,34.9,0.017
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.248,29.41982701,-90.94793212,V25,Y,A,20F294V25YA,2019-10-09,2020-10-14,NA,30,371,30,0.034,70.4,35.8,0.012
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.248,29.41982701,-90.94793212,V25,Y,B,20F294V25YB,2019-10-09,2020-10-14,NA,24,371,24,0.04,70.5,33.8,0.013
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.248,29.41982701,-90.94793212,V25,Y,C,20F294V25YC,2019-10-09,2020-10-14,NA,25,371,25,0.043,72.8,33.7,0.014
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.248,29.41982701,-90.94793212,V25,Z,A,20F294V25ZA,2019-10-09,2020-10-14,NA,32,371,31,0.024,72.1,35.7,0.009
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.248,29.41982701,-90.94793212,V25,Z,B,20F294V25ZB,2019-10-09,2020-10-14,NA,46,371,45,0.031,68.5,34.4,0.011
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.248,29.41982701,-90.94793212,V25,Z,C,20F294V25ZC,2019-10-09,2020-10-14,NA,37,371,36,0.025,68.5,38.1,0.01
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.261,29.41958981,-90.94773758,V50,X,A,20F294V50XA,2019-10-09,2020-10-14,NA,14,371,14,0.045,80,40.3,0.018
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.261,29.41958981,-90.94773758,V50,X,B,20F294V50XB,2019-10-09,2020-10-14,NA,9,371,9,0.063,72.7,35.9,0.023
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.261,29.41958981,-90.94773758,V50,X,C,20F294V50XC,2019-10-09,2020-10-14,NA,18,371,18,0.018,76.7,36.8,0.007
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.261,29.41958981,-90.94773758,V50,Y,A,20F294V50YA,2019-10-09,2020-10-14,NA,16,371,16,0.029,75.3,37.8,0.011
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.261,29.41958981,-90.94773758,V50,Y,B,20F294V50YB,2019-10-09,2020-10-14,NA,17,371,17,0.026,77.7,40.4,0.01
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.261,29.41958981,-90.94773758,V50,Y,C,20F294V50YC,2019-10-09,2020-10-14,NA,23,371,23,0.02,70.7,35.8,0.007
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.261,29.41958981,-90.94773758,V50,Z,A,20F294V50ZA,2019-10-09,2020-10-14,NA,24,371,24,0.024,72.3,39.4,0.01
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.261,29.41958981,-90.94773758,V50,Z,B,20F294V50ZB,2019-10-09,2020-10-14,NA,14,371,14,0.046,82.4,34.4,0.016
Terrebonne,Fall_2020,CRMS_0294,intertidal,0.261,29.41958981,-90.94773758,V50,Z,C,20F294V50ZC,2019-10-09,2020-10-14,NA,18,371,18,0.02,78.8,41.7,0.009
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.143,29.24540229,-91.10630862,V25,X,A,20F322V25XA,2019-10-09,2020-10-13,NA,21,370,21,0.224,31.2,14.3,0.032
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.143,29.24540229,-91.10630862,V25,X,B,20F322V25XB,2019-10-09,2020-10-13,NA,18,370,18,0.186,37.5,16.7,0.031
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.143,29.24540229,-91.10630862,V25,Y,A,20F322V25YA,2019-10-09,2020-10-13,NA,24,370,24,0.191,34.3,16.4,0.031
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.143,29.24540229,-91.10630862,V25,Y,B,20F322V25YB,2019-10-09,2020-10-13,NA,25,370,25,0.185,25.8,10.3,0.019
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.143,29.24540229,-91.10630862,V25,Z,A,20F322V25ZA,2019-10-09,2020-10-13,NA,26,370,26,0.236,26.3,12.3,0.029
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.143,29.24540229,-91.10630862,V25,Z,B,20F322V25ZB,2019-10-09,2020-10-13,NA,23,370,23,0.189,38.2,17.7,0.033
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.12,29.24568511,-91.10631544,V50,X,A,20F322V50XA,2019-10-09,2020-10-13,NA,15,370,15,0.063,44.9,19,0.012
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.12,29.24568511,-91.10631544,V50,X,B,20F322V50XB,2019-10-09,2020-10-13,NA,16,370,16,0.198,42.4,18.4,0.036
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.12,29.24568511,-91.10631544,V50,Y,A,20F322V50YA,2019-10-09,2020-10-13,NA,20,370,20,0.272,25.4,11.7,0.032
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.12,29.24568511,-91.10631544,V50,Y,B,20F322V50YB,2019-10-09,2020-10-13,NA,11,370,11,0.221,36.3,15.6,0.035
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.12,29.24568511,-91.10631544,V50,Z,A,20F322V50ZA,2019-10-09,2020-10-13,NA,14,370,14,0.152,48.6,21.9,0.033
Atchafalaya,Fall_2020,CRMS_0322,intertidal,0.12,29.24568511,-91.10631544,V50,Z,B,20F322V50ZB,2019-10-09,2020-10-13,NA,13,370,13,0.214,38.7,18.3,0.039
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34186159,-90.88526672,V25,X,A,20F396V25XA,2019-10-23,2020-10-16,NA,33,359,34,0.031,41.3,18.7,0.006
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34186159,-90.88526672,V25,X,B,20F396V25XB,2019-10-23,2020-10-16,NA,6,359,6,0.044,39.6,17.2,0.008
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34186159,-90.88526672,V25,X,C,20F396V25XC,2019-10-23,2020-10-16,NA,12,359,12,0.036,57.2,25.9,0.009
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34186159,-90.88526672,V25,Y,A,20F396V25YA,2019-10-23,2020-10-16,NA,6,359,6,0.083,43.8,19.8,0.017
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34186159,-90.88526672,V25,Y,B,20F396V25YB,2019-10-23,2020-10-16,NA,7,359,7,0.048,51.5,21.3,0.01
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34186159,-90.88526672,V25,Z,A,20F396V25ZA,2019-10-23,2020-10-16,NA,19,359,19,0.034,48.2,23.2,0.008
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34186159,-90.88526672,V25,Z,B,20F396V25ZB,2019-10-23,2020-10-16,NA,29,359,29,0.06,39.8,19.5,0.012
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34192338,-90.88462001,V50,X,A,20F396V50XA,2019-10-23,2020-10-16,NA,10,359,10,0.128,39.1,17.2,0.022
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34192338,-90.88462001,V50,X,B,20F396V50XB,2019-10-23,2020-10-16,NA,34,359,35,0.062,34.5,15.3,0.009
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34192338,-90.88462001,V50,Y,A,20F396V50YA,2019-10-23,2020-10-16,NA,9,359,9,0.125,27.7,12.1,0.015
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34192338,-90.88462001,V50,Y,B,20F396V50YB,2019-10-23,2020-10-16,NA,14,359,14,0.046,38.8,16.4,0.008
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34192338,-90.88462001,V50,Z,A,20F396V50ZA,2019-10-23,2020-10-16,NA,11,359,11,0.094,32.9,14.4,0.014
Terrebonne,Fall_2020,CRMS_0396,intertidal,0.095,29.34192338,-90.88462001,V50,Z,B,20F396V50ZB,2019-10-23,2020-10-16,NA,10,359,10,0.196,22.3,10,0.02
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.168,29.29926093,-91.10502813,V25,X,A,20F399V25XA,2019-10-09,2020-10-13,NA,15,370,15,0.425,20.1,8.8,0.037
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.168,29.29926093,-91.10502813,V25,X,B,20F399V25XB,2019-10-09,2020-10-13,NA,19,370,19,0.323,22.5,8.5,0.027
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.168,29.29926093,-91.10502813,V25,Y,A,20F399V25YA,2019-10-09,2020-10-13,NA,11,370,11,0.313,25.2,10.3,0.032
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.168,29.29926093,-91.10502813,V25,Y,B,20F399V25YB,2019-10-09,2020-10-13,NA,23,370,23,0.242,22.4,9.8,0.024
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.168,29.29926093,-91.10502813,V25,Z,A,20F399V25ZA,2019-10-09,2020-10-13,NA,14,370,14,0.431,22.3,10,0.043
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.168,29.29926093,-91.10502813,V25,Z,B,20F399V25ZB,2019-10-09,2020-10-13,NA,15,370,15,0.295,19.6,8.6,0.025
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.21,29.29942752,-91.10478423,V50,X,A,20F399V50XA,2019-10-09,2020-10-13,NA,21,370,21,0.317,18.8,7.9,0.025
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.21,29.29942752,-91.10478423,V50,X,B,20F399V50XB,2019-10-09,2020-10-13,NA,13,370,13,0.308,23.6,11,0.034
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.21,29.29942752,-91.10478423,V50,Y,A,20F399V50YA,2019-10-09,2020-10-13,NA,9,370,9,0.769,21.4,10.1,0.078
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.21,29.29942752,-91.10478423,V50,Y,B,20F399V50YB,2019-10-09,2020-10-13,NA,15,370,15,0.3,22.3,9.5,0.028
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.21,29.29942752,-91.10478423,V50,Z,A,20F399V50ZA,2019-10-09,2020-10-13,NA,17,370,17,0.297,25.8,11,0.033
Atchafalaya,Fall_2020,CRMS_0399,intertidal,0.21,29.29942752,-91.10478423,V50,Z,B,20F399V50ZB,2019-10-09,2020-10-13,NA,19,370,19,0.29,21.4,10.9,0.032
Terrebonne,Fall_2020,CRMS_0421,intertidal,0.055,29.17143885,-90.8225398,V25,X,A,20F421V25XA,2019-10-23,2020-10-15,NA,22,358,22,0.167,21.9,8.6,0.014
Terrebonne,Fall_2020,CRMS_0421,intertidal,0.055,29.17143885,-90.8225398,V25,X,B,20F421V25XB,2019-10-23,2020-10-15,NA,50,358,51,0.128,21.2,9.3,0.012
Terrebonne,Fall_2020,CRMS_0421,intertidal,0.055,29.17143885,-90.8225398,V25,Y,A,20F421V25YA,2019-10-23,2020-10-15,NA,40,358,41,0.103,21.4,9.5,0.01
Terrebonne,Fall_2020,CRMS_0421,intertidal,0.055,29.17143885,-90.8225398,V25,Y,B,20F421V25YB,2019-10-23,2020-10-15,NA,34,358,36,0.196,16.5,6.8,0.013
Terrebonne,Fall_2020,CRMS_0421,intertidal,0.055,29.17143885,-90.8225398,V25,Z,A,20F421V25ZA,2019-10-23,2020-10-15,NA,25,358,25,0.183,19.7,8.3,0.015
Terrebonne,Fall_2020,CRMS_0421,intertidal,0.055,29.17143885,-90.8225398,V25,Z,B,20F421V25ZB,2019-10-23,2020-10-15,NA,38,358,39,0.517,19.8,8.6,0.045
Terrebonne,Fall_2020,CRMS_0421,intertidal,-0.032,29.17169551,-90.82243665,V50,X,A,20F421V50XA,2019-10-23,2020-10-15,NA,31,358,32,0.104,20.7,8.7,0.009
Terrebonne,Fall_2020,CRMS_0421,intertidal,-0.032,29.17169551,-90.82243665,V50,X,B,20F421V50XB,2019-10-23,2020-10-15,NA,33,358,34,0.443,21.3,8.7,0.038
Terrebonne,Fall_2020,CRMS_0421,intertidal,-0.032,29.17169551,-90.82243665,V50,X,C,20F421V50XC,2019-10-23,2020-10-15,NA,30,358,31,0.094,22.5,9.1,0.009
Terrebonne,Fall_2020,CRMS_0421,intertidal,-0.032,29.17169551,-90.82243665,V50,Y,A,20F421V50YA,2019-10-23,2020-10-15,NA,19,358,19,0.091,22.4,9.2,0.008
Terrebonne,Fall_2020,CRMS_0421,intertidal,-0.032,29.17169551,-90.82243665,V50,Y,B,20F421V50YB,2019-10-23,2020-10-15,NA,65,358,66,0.1,25,9.7,0.01
Terrebonne,Fall_2020,CRMS_0421,intertidal,-0.032,29.17169551,-90.82243665,V50,Z,A,20F421V50ZA,2019-10-23,2020-10-15,NA,29,358,30,0.141,20.3,7.4,0.01
Terrebonne,Fall_2020,CRMS_0421,intertidal,-0.032,29.17169551,-90.82243665,V50,Z,B,20F421V50ZB,2019-10-23,2020-10-15,NA,18,358,18,0.114,22.8,9.5,0.011
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.089,29.50892093,-91.44446528,INT,X,A,20FM1INTXA,2019-10-04,2020-10-06,NA,58,368,60,0.837,3.3,2.2,0.018
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.089,29.50892093,-91.44446528,INT,X,B,20FM1INTXB,2019-10-04,2020-10-06,NA,59,368,60,0.458,7.9,2.2,0.01
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.089,29.50892093,-91.44446528,INT,X,C,20FM1INTXC,2019-10-04,2020-10-06,NA,88,368,89,0.444,8.1,2.7,0.012
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.089,29.50892093,-91.44446528,INT,Y,A,20FM1INTYA,2019-10-04,2020-10-06,NA,59,368,60,0.358,9.6,3.2,0.011
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.089,29.50892093,-91.44446528,INT,Y,B,20FM1INTYB,2019-10-04,2020-10-06,NA,27,368,30,0.452,11.7,3.2,0.015
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.089,29.50892093,-91.44446528,INT,Y,C,20FM1INTYC,2019-10-04,2020-10-06,NA,68,368,69,0.631,5.8,1.9,0.012
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.089,29.50892093,-91.44446528,INT,Z,A,20FM1INTZA,2019-10-04,2020-10-06,NA,64,368,60,0.406,8.8,2.6,0.011
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.089,29.50892093,-91.44446528,INT,Z,B,20FM1INTZB,2019-10-04,2020-10-06,NA,73,368,69,0.501,7.7,2.5,0.013
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.089,29.50892093,-91.44446528,INT,Z,C,20FM1INTZC,2019-10-04,2020-10-06,NA,65,368,69,0.372,7.8,3.1,0.011
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.135,29.50838834,-91.44364284,SUB,X,A,20FM1SUBXA,2019-10-04,2020-10-06,NA,68,368,69,0.077,10.9,3,0.002
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.135,29.50838834,-91.44364284,SUB,X,B,20FM1SUBXB,2019-10-04,2020-10-06,NA,59,368,60,0.088,8.3,2.6,0.002
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.135,29.50838834,-91.44364284,SUB,X,C,20FM1SUBXC,2019-10-04,2020-10-06,NA,71,368,69,0.121,9,3.2,0.004
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.135,29.50838834,-91.44364284,SUB,Y,A,20FM1SUBYA,2019-10-04,2020-10-06,NA,61,368,60,0.084,9.6,3,0.003
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.135,29.50838834,-91.44364284,SUB,Y,B,20FM1SUBYB,2019-10-04,2020-10-06,NA,74,368,69,0.079,7.8,2.8,0.002
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.135,29.50838834,-91.44364284,SUB,Z,A,20FM1SUBZA,2019-10-04,2020-10-06,NA,37,368,40,0.071,8.1,2.7,0.002
Atchafalaya,Fall_2020,WLD_T1,subtidal,-0.135,29.50838834,-91.44364284,SUB,Z,B,20FM1SUBZB,2019-10-04,2020-10-06,NA,44,368,40,0.083,10.7,3.4,0.003
Atchafalaya,Fall_2020,WLD_T1,supratidal,0.482,29.51004287,-91.44485335,SUP,X,A,20FM1SUPXA,2019-10-04,2020-10-06,NA,30,368,30,0.821,6.5,2.5,0.02
Atchafalaya,Fall_2020,WLD_T1,supratidal,0.482,29.51004287,-91.44485335,SUP,X,B,20FM1SUPXB,2019-10-04,2020-10-06,NA,30,368,30,0.655,8.9,3.1,0.02
Atchafalaya,Fall_2020,WLD_T1,supratidal,0.482,29.51004287,-91.44485335,SUP,X,C,20FM1SUPXC,2019-10-04,2020-10-06,NA,40,368,40,0.734,7.4,2.3,0.017
Atchafalaya,Fall_2020,WLD_T1,supratidal,0.482,29.51004287,-91.44485335,SUP,Y,A,20FM1SUPYA,2019-10-04,2020-10-06,NA,28,368,30,0.764,8.9,2.8,0.021
Atchafalaya,Fall_2020,WLD_T1,supratidal,0.482,29.51004287,-91.44485335,SUP,Y,B,20FM1SUPYB,2019-10-04,2020-10-06,NA,32,368,30,0.936,9.2,2.2,0.021
Atchafalaya,Fall_2020,WLD_T1,supratidal,0.482,29.51004287,-91.44485335,SUP,Y,C,20FM1SUPYC,2019-10-04,2020-10-06,NA,48,368,50,0.661,9.9,2.7,0.018
Atchafalaya,Fall_2020,WLD_T1,supratidal,0.482,29.51004287,-91.44485335,SUP,Z,A,20FM1SUPZA,2019-10-04,2020-10-06,NA,32,368,30,0.635,10.8,3.4,0.022
Atchafalaya,Fall_2020,WLD_T1,supratidal,0.482,29.51004287,-91.44485335,SUP,Z,B,20FM1SUPZB,2019-10-04,2020-10-06,NA,32,368,30,0.739,7.9,2.8,0.021
Atchafalaya,Fall_2020,WLD_T1,supratidal,0.482,29.51004287,-91.44485335,SUP,Z,C,20FM1SUPZC,2019-10-04,2020-10-06,NA,29,368,30,0.828,9.5,2.7,0.023
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.147,29.49543878,-91.44170891,INT,X,A,20FM2INTXA,2019-10-04,2020-10-07,NA,30,369,30,0.926,4,1.1,0.011
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.147,29.49543878,-91.44170891,INT,X,B,20FM2INTXB,2019-10-04,2020-10-07,NA,54,369,53,1.037,4.6,1.3,0.013
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.147,29.49543878,-91.44170891,INT,Y,A,20FM2INTYA,2019-10-04,2020-10-07,NA,54,369,53,0.839,3.2,0.8,0.007
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.147,29.49543878,-91.44170891,INT,Y,B,20FM2INTYB,2019-10-04,2020-10-07,NA,51,369,50,0.975,2.7,0.7,0.007
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.147,29.49543878,-91.44170891,INT,Z,A,20FM2INTZA,2019-10-04,2020-10-07,NA,29,369,29,0.951,3.2,1.1,0.01
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.147,29.49543878,-91.44170891,INT,Z,B,20FM2INTZB,2019-10-04,2020-10-07,NA,71,369,70,1.073,2.9,0.9,0.009
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.147,29.49543878,-91.44170891,INT,Z,C,20FM2INTZC,2019-10-04,2020-10-07,NA,82,369,81,1.372,2.1,0.4,0.006
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.269,29.49547534,-91.44216698,SUB,X,A,20FM2SUBXA,2019-10-04,2020-10-07,NA,40,369,40,1.045,4.1,1,0.011
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.269,29.49547534,-91.44216698,SUB,X,B,20FM2SUBXB,2019-10-04,2020-10-07,NA,44,369,44,1.053,3.8,0.7,0.008
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.269,29.49547534,-91.44216698,SUB,X,C,20FM2SUBXC,2019-10-04,2020-10-07,NA,43,369,43,1.456,3.4,0.7,0.01
Atchafalaya,Fall_2020,WLD_T3,subtidal,-0.269,29.49547534,-91.44216698,SUB,Y,A,20FM2SUBYA,2019-10-04,2020-10-07,NA,29,369,29,0.74,6.4,1.6,0.012
